month,event_count,estimated_turnout,y
2024-01,0,0.0,1
2024-02,0,0.0,1
2024-03,0,0.0,1
2024-04,0,0.0,1
2024-05,0,0.0,1
2024-06,1,50.0,1
2024-07,1,50.0,1
2024-08,1,50.0,1
2024-09,0,0.0,1
2024-10,0,0.0,1
2024-11,0,0.0,1
2024-12,0,0.0,1
2025-01,0,0.0,1
2025-02,1,50.0,1
2025-03,0,0.0,1
2025-04,2,5050.0,1
2025-05,0,0.0,1
2025-06,0,0.0,1
2025-07,1,10.0,1
2025-08,4,650.0,1
2025-09,6,750.0,1
2025-10,9,410.0,1
2025-11,17,810.0,1
2025-12,21,3180.0,1
2026-01,9,410.0,1
2026-02,15,1120.0,1
2026-03,19,7250.0,1
2026-04,34,2150.0,1
2026-05,41,5120.0,1
2026-06,39,15410.0,1
2026-07,81,10190.0,1
2026-08,28,1850.0,1
